fps,frame_count,duration_sec,width,height,name,split
30.0,300.0,10.0,480.0,360.0,train951.mp4,train
29.97002997002997,300.0,10.01,480.0,360.0,train952.mp4,train
30.0,300.0,10.0,406.0,720.0,test1463.mp4,train
29.97002997002997,300.0,10.01,640.0,360.0,test2340.mp4,train
23.976023976023978,863.0,35.99429166666666,640.0,360.0,stu5_11.mp4,train
23.976023976023978,1295.0,54.01229166666666,640.0,360.0,stu9_2.mp4,train
29.97002997002997,1469.0,49.015633333333334,640.0,360.0,stu6_18.mp4,train
25.0,500.0,20.0,640.0,360.0,stu4_14.mp4,train
29.97002997002997,959.0,31.998633333333334,640.0,360.0,stu8_3.mp4,train
29.97002997002997,1379.0,46.01263333333333,640.0,360.0,stu4_54.mp4,train
16.0,160.0,10.0,320.0,240.0,test128.mp4,train
25.0,1125.0,45.0,640.0,360.0,stu4_66.mp4,train
23.976023976023978,216.0,9.008999999999999,640.0,360.0,stu5_61.mp4,train
30.0,330.0,11.0,640.0,360.0,stu6_35.mp4,train
14.0,140.0,10.0,640.0,360.0,val77.mp4,train
30.0,1350.0,45.0,640.0,360.0,stu9_63.mp4,train
29.97002997002997,1199.0,40.00663333333333,640.0,360.0,stu5_52.mp4,train
30.0,810.0,27.0,640.0,360.0,stu2_35.mp4,train
24.0,960.0,40.0,640.0,360.0,stu6_1.mp4,train
30.0,1800.0,60.0,640.0,360.0,stu7_57.mp4,train
30.0,300.0,10.0,320.0,240.0,train133.mp4,train
30.0,1800.0,60.0,640.0,360.0,stu7_49.mp4,train
24.0,1440.0,60.0,640.0,360.0,stu9_51.mp4,train
9.0,90.0,10.0,320.0,240.0,train3301.mp4,train
25.0,775.0,31.0,640.0,360.0,stu10_50.mp4,train
30.0,1500.0,50.0,640.0,360.0,stu8_35.mp4,train
23.976023976023978,936.0,39.038999999999994,640.0,360.0,stu1_68.mp4,train
25.0,250.0,10.0,640.0,360.0,train1605.mp4,train
30.0,300.0,10.0,480.0,270.0,train940.mp4,train
25.0,1000.0,40.0,640.0,360.0,stu7_34.mp4,train
29.97002997002997,1799.0,60.026633333333336,540.0,360.0,stu2_58.mp4,train
30.0,900.0,30.0,640.0,360.0,stu4_50.mp4,train
29.97002997002997,2308.0,77.01026666666667,640.0,360.0,stu1_33.mp4,train
29.97002997002997,899.0,29.996633333333335,640.0,360.0,stu9_22.mp4,train
30.0,930.0,31.0,640.0,360.0,stu7_3.mp4,train
23.976023976023978,671.0,27.986291666666666,640.0,360.0,stu1_14.mp4,train
23.976023976023978,815.0,33.99229166666667,640.0,360.0,stu3_42.mp4,train
30.0,480.0,16.0,640.0,360.0,stu4_15.mp4,train
29.97,749.0,24.991658324991658,640.0,360.0,stu6_62.mp4,train
29.0,290.0,10.0,640.0,360.0,train987.mp4,train
25.0,250.0,10.0,1280.0,720.0,stu8_64.mp4,train
29.91825613079019,360.0,12.032786885245901,360.0,360.0,stu4_39.mp4,train
29.97002997002997,960.0,32.032000000000004,202.0,360.0,stu2_40.mp4,train
30.0,750.0,25.0,640.0,360.0,stu7_18.mp4,train
30.0,300.0,10.0,640.0,360.0,train160.mp4,train
23.976023976023978,1607.0,67.02529166666666,1280.0,720.0,stu7_67.mp4,train
25.0,250.0,10.0,270.0,360.0,train180.mp4,train
25.0,275.0,11.0,640.0,360.0,stu6_29.mp4,train
23.976023976023978,719.0,29.988291666666665,640.0,360.0,stu10_46.mp4,train
15.0,585.0,39.0,424.0,240.0,stu6_33.mp4,train
30.0,480.0,16.0,640.0,360.0,stu4_33.mp4,train
29.97002997002997,1109.0,37.00363333333333,640.0,360.0,stu3_65.mp4,train
30.0,900.0,30.0,640.0,360.0,stu6_8.mp4,train
30.0,1800.0,60.0,640.0,360.0,stu1_41.mp4,train
30.0,300.0,10.0,202.0,360.0,train2719.mp4,train
29.97002997002997,449.0,14.981633333333333,640.0,360.0,stu9_26.mp4,train
29.97002997002997,1199.0,40.00663333333333,640.0,360.0,stu7_60.mp4,train
29.97002997002997,1229.0,41.00763333333333,640.0,360.0,stu2_51.mp4,train
30.0,720.0,24.0,202.0,360.0,stu8_1.mp4,train
30.0,390.0,13.0,480.0,720.0,stu10_64.mp4,train
29.97002997002997,299.0,9.976633333333334,640.0,360.0,stu10_31.mp4,train
30.0,300.0,10.0,482.0,360.0,train2712.mp4,train
23.976023976023978,216.0,9.008999999999999,640.0,360.0,stu1_22.mp4,train
30.0,600.0,20.0,640.0,360.0,stu4_25.mp4,train
29.97002997002997,1349.0,45.011633333333336,1280.0,720.0,stu3_61.mp4,train
30.0,1800.0,60.0,1280.0,720.0,stu8_63.mp4,train
29.97002997002997,929.0,30.997633333333333,424.0,240.0,stu2_20.mp4,train
24.0,360.0,15.0,640.0,360.0,stu10_16.mp4,train
29.97002997002997,690.0,23.023,640.0,360.0,stu10_53.mp4,train
20.0,200.0,10.0,320.0,240.0,val1089.mp4,train
29.97002997002997,1078.0,35.96926666666667,640.0,360.0,stu3_62.mp4,train
25.0,375.0,15.0,640.0,360.0,stu8_56.mp4,train
30.0,1800.0,60.0,1280.0,720.0,stu10_51.mp4,train
29.97002997002997,1229.0,41.00763333333333,1280.0,720.0,stu8_69.mp4,train
29.97002997002997,1558.0,51.98526666666667,640.0,360.0,stu7_63.mp4,train
30.0,900.0,30.0,640.0,360.0,stu9_35.mp4,train
30.0,1800.0,60.0,640.0,360.0,stu8_44.mp4,train
25.0,250.0,10.0,320.0,240.0,train3319.mp4,train
29.97002997002997,960.0,32.032000000000004,640.0,360.0,stu8_4.mp4,train
25.0,750.0,30.0,640.0,360.0,stu3_44.mp4,train
24.0,1032.0,43.0,640.0,360.0,stu7_64.mp4,train
25.0,250.0,10.0,1280.0,720.0,train2568.mp4,train
30.0,300.0,10.0,640.0,360.0,train3386.mp4,train
23.976023976023978,1415.0,59.017291666666665,640.0,360.0,stu5_48.mp4,train
25.0,250.0,10.0,480.0,360.0,train2570.mp4,train
30.0,300.0,10.0,360.0,360.0,test586.mp4,train
29.305,879.0,29.99488141955298,640.0,360.0,stu2_38.mp4,train
30.0,1560.0,52.0,202.0,360.0,stu5_56.mp4,train
30.0,300.0,10.0,204.0,360.0,train3948.mp4,train
30.0,720.0,24.0,640.0,360.0,stu5_30.mp4,train
25.0,825.0,33.0,640.0,360.0,stu9_58.mp4,train
29.857,329.0,11.01919147938507,640.0,360.0,stu1_20.mp4,train
24.0,240.0,10.0,640.0,360.0,train3366.mp4,train
30.0,300.0,10.0,202.0,360.0,train2501.mp4,train
29.97002997002997,1469.0,49.015633333333334,640.0,360.0,stu1_55.mp4,train
29.97002997002997,900.0,30.03,640.0,360.0,stu3_9.mp4,train
23.976023976023978,1439.0,60.01829166666666,640.0,360.0,stu8_5.mp4,train
