name,feature_path,type,split,count,backbone
stu8_42.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu8_42_rgb_resnet50.npy,push_up,test,6,resnet50
stu2_39.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu2_39_rgb_resnet50.npy,pull_up,test,6,resnet50
train2737.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/train2737_rgb_resnet50.npy,push_up,test,3,resnet50
val1244.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/val1244_rgb_resnet50.npy,squat,test,1,resnet50
val1257.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/val1257_rgb_resnet50.npy,squat,test,2,resnet50
stu7_45.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu7_45_rgb_resnet50.npy,push_up,test,3,resnet50
stu9_64.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_64_rgb_resnet50.npy,squat,test,14,resnet50
stu9_52.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_52_rgb_resnet50.npy,push_up,test,57,resnet50
stu9_48.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_48_rgb_resnet50.npy,push_up,test,27,resnet50
stu10_48.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu10_48_rgb_resnet50.npy,push_up,test,5,resnet50
train2508.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/train2508_rgb_resnet50.npy,pull_up,test,4,resnet50
stu10_36.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu10_36_rgb_resnet50.npy,pull_up,test,29,resnet50
stu6_63.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu6_63_rgb_resnet50.npy,squat,test,17,resnet50
stu4_69.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu4_69_rgb_resnet50.npy,squat,test,2,resnet50
stu5_47.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu5_47_rgb_resnet50.npy,push_up,test,30,resnet50
stu8_70.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu8_70_rgb_resnet50.npy,squat,test,4,resnet50
stu8_38.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu8_38_rgb_resnet50.npy,pull_up,test,16,resnet50
stu4_64.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu4_64_rgb_resnet50.npy,squat,test,14,resnet50
stu5_62.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu5_62_rgb_resnet50.npy,squat,test,32,resnet50
stu7_35.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu7_35_rgb_resnet50.npy,pull_up,test,22,resnet50
stu6_30.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu6_30_rgb_resnet50.npy,pull_up,test,2,resnet50
stu9_36.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_36_rgb_resnet50.npy,pull_up,test,11,resnet50
stu1_40.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu1_40_rgb_resnet50.npy,pull_up,test,8,resnet50
stu4_63.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu4_63_rgb_resnet50.npy,squat,test,14,resnet50
stu4_46.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu4_46_rgb_resnet50.npy,push_up,test,45,resnet50
stu8_71.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu8_71_rgb_resnet50.npy,squat,test,4,resnet50
test2315.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/test2315_rgb_resnet50.npy,squat,test,3,resnet50
stu8_45.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu8_45_rgb_resnet50.npy,push_up,test,11,resnet50
test2320.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/test2320_rgb_resnet50.npy,squat,test,4,resnet50
stu4_29.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu4_29_rgb_resnet50.npy,pull_up,test,5,resnet50
stu9_47.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_47_rgb_resnet50.npy,push_up,test,2,resnet50
stu6_68.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu6_68_rgb_resnet50.npy,squat,test,6,resnet50
stu2_34.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu2_34_rgb_resnet50.npy,pull_up,test,17,resnet50
stu10_43.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu10_43_rgb_resnet50.npy,push_up,test,17,resnet50
stu9_71.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_71_rgb_resnet50.npy,squat,test,1,resnet50
stu9_45.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_45_rgb_resnet50.npy,pull_up,test,12,resnet50
stu5_32.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu5_32_rgb_resnet50.npy,pull_up,test,30,resnet50
stu6_42.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu6_42_rgb_resnet50.npy,push_up,test,8,resnet50
stu6_65.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu6_65_rgb_resnet50.npy,squat,test,19,resnet50
stu5_68.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu5_68_rgb_resnet50.npy,squat,test,20,resnet50
stu6_39.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu6_39_rgb_resnet50.npy,push_up,test,29,resnet50
train2659.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/train2659_rgb_resnet50.npy,push_up,test,4,resnet50
stu3_39.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu3_39_rgb_resnet50.npy,pull_up,test,14,resnet50
train2534.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/train2534_rgb_resnet50.npy,pull_up,test,2,resnet50
stu1_30.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu1_30_rgb_resnet50.npy,pull_up,test,2,resnet50
stu4_68.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu4_68_rgb_resnet50.npy,squat,test,5,resnet50
test1454.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/test1454_rgb_resnet50.npy,pull_up,test,6,resnet50
train3899.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/train3899_rgb_resnet50.npy,squat,test,2,resnet50
stu2_36.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu2_36_rgb_resnet50.npy,pull_up,test,5,resnet50
stu2_37.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu2_37_rgb_resnet50.npy,pull_up,test,17,resnet50
stu8_46.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu8_46_rgb_resnet50.npy,push_up,test,19,resnet50
stu4_47.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu4_47_rgb_resnet50.npy,push_up,test,37,resnet50
stu1_36.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu1_36_rgb_resnet50.npy,pull_up,test,9,resnet50
test1463.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/test1463_rgb_resnet50.npy,pull_up,train,7,resnet50
test2340.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/test2340_rgb_resnet50.npy,squat,train,4,resnet50
stu4_66.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu4_66_rgb_resnet50.npy,squat,train,27,resnet50
stu6_35.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu6_35_rgb_resnet50.npy,pull_up,train,5,resnet50
stu9_63.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_63_rgb_resnet50.npy,squat,train,20,resnet50
stu2_35.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu2_35_rgb_resnet50.npy,pull_up,train,6,resnet50
stu7_49.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu7_49_rgb_resnet50.npy,push_up,train,50,resnet50
stu9_51.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_51_rgb_resnet50.npy,push_up,train,62,resnet50
stu10_50.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu10_50_rgb_resnet50.npy,push_up,train,31,resnet50
stu8_35.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu8_35_rgb_resnet50.npy,pull_up,train,11,resnet50
stu1_68.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu1_68_rgb_resnet50.npy,squat,train,20,resnet50
stu1_33.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu1_33_rgb_resnet50.npy,pull_up,train,28,resnet50
