name,video_path,feature_path,type,split,count,status,frames_total,frames_used,feature_dim,backbone,message
stu8_42.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/stu8_42.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu8_42_rgb_resnet50.npy,push_up,test,6,ok,450,128,2048,resnet50,
stu2_39.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/stu2_39.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu2_39_rgb_resnet50.npy,pull_up,test,6,ok,540,128,2048,resnet50,
train2737.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/train2737.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/train2737_rgb_resnet50.npy,push_up,test,3,ok,300,128,2048,resnet50,
val1244.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/val1244.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/val1244_rgb_resnet50.npy,squat,test,1,ok,250,128,2048,resnet50,
val1257.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/val1257.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/val1257_rgb_resnet50.npy,squat,test,2,ok,300,128,2048,resnet50,
stu7_45.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/stu7_45.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu7_45_rgb_resnet50.npy,push_up,test,3,ok,752,128,2048,resnet50,
stu9_64.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/stu9_64.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_64_rgb_resnet50.npy,squat,test,14,ok,1230,128,2048,resnet50,
stu9_52.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/stu9_52.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_52_rgb_resnet50.npy,push_up,test,57,ok,1108,128,2048,resnet50,
stu9_48.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/stu9_48.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu9_48_rgb_resnet50.npy,push_up,test,27,ok,1770,128,2048,resnet50,
stu10_48.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/test/stu10_48.mp4,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/annotation_cleaned/rgb_resnet50_features/stu10_48_rgb_resnet50.npy,push_up,test,5,ok,899,128,2048,resnet50,
