min_conf,min_valid_ratio,enter_down,enter_bottom,exit_bottom,back_to_up,min_bottom_frames,train_mae,train_rmse,train_within_1
0.7,0.35,25.0,45.0,30.0,20.0,2,2.7549019607843137,5.221561632534174,0.6372549019607843
0.7,0.5,25.0,45.0,30.0,20.0,2,2.7549019607843137,5.221561632534174,0.6372549019607843
0.7,0.65,25.0,45.0,30.0,20.0,2,2.7549019607843137,5.221561632534174,0.6372549019607843
0.7,0.35,25.0,45.0,30.0,20.0,3,2.8137254901960786,5.294281043230127,0.6372549019607843
0.7,0.5,25.0,45.0,30.0,20.0,3,2.8137254901960786,5.294281043230127,0.6372549019607843
0.7,0.65,25.0,45.0,30.0,20.0,3,2.8137254901960786,5.294281043230127,0.6372549019607843
0.7,0.35,25.0,45.0,40.0,20.0,2,2.8333333333333335,5.331188294128334,0.6372549019607843
0.7,0.5,25.0,45.0,40.0,20.0,2,2.8333333333333335,5.331188294128334,0.6372549019607843
0.7,0.65,25.0,45.0,40.0,20.0,2,2.8333333333333335,5.331188294128334,0.6372549019607843
0.7,0.35,25.0,45.0,30.0,20.0,4,2.8823529411764706,5.464681609942085,0.6274509803921569
0.7,0.5,25.0,45.0,30.0,20.0,4,2.8823529411764706,5.464681609942085,0.6274509803921569
0.7,0.65,25.0,45.0,30.0,20.0,4,2.8823529411764706,5.464681609942085,0.6274509803921569
0.8,0.35,25.0,45.0,30.0,20.0,2,2.8823529411764706,5.468268536229153,0.6372549019607843
0.8,0.5,25.0,45.0,30.0,20.0,2,2.8823529411764706,5.468268536229153,0.6372549019607843
0.8,0.65,25.0,45.0,30.0,20.0,2,2.8823529411764706,5.468268536229153,0.6372549019607843
0.7,0.35,25.0,45.0,40.0,20.0,3,2.9313725490196076,5.554542391274963,0.6372549019607843
0.7,0.5,25.0,45.0,40.0,20.0,3,2.9313725490196076,5.554542391274963,0.6372549019607843
0.7,0.65,25.0,45.0,40.0,20.0,3,2.9313725490196076,5.554542391274963,0.6372549019607843
0.8,0.35,25.0,45.0,30.0,20.0,3,2.9411764705882355,5.60461994303649,0.6372549019607843
0.8,0.5,25.0,45.0,30.0,20.0,3,2.9411764705882355,5.60461994303649,0.6372549019607843
0.8,0.65,25.0,45.0,30.0,20.0,3,2.9411764705882355,5.60461994303649,0.6372549019607843
0.8,0.35,25.0,45.0,40.0,20.0,2,2.9705882352941178,5.678476735817069,0.6372549019607843
0.8,0.5,25.0,45.0,40.0,20.0,2,2.9705882352941178,5.678476735817069,0.6372549019607843
0.8,0.65,25.0,45.0,40.0,20.0,2,2.9705882352941178,5.678476735817069,0.6372549019607843
0.8,0.35,25.0,45.0,30.0,20.0,4,3.019607843137255,5.790458683446924,0.6274509803921569
0.8,0.5,25.0,45.0,30.0,20.0,4,3.019607843137255,5.790458683446924,0.6274509803921569
0.8,0.65,25.0,45.0,30.0,20.0,4,3.019607843137255,5.790458683446924,0.6274509803921569
0.7,0.35,20.0,45.0,30.0,15.0,2,3.0686274509803924,5.520905012483256,0.5784313725490197
0.7,0.35,25.0,45.0,30.0,15.0,2,3.0686274509803924,5.520905012483256,0.5784313725490197
0.7,0.5,20.0,45.0,30.0,15.0,2,3.0686274509803924,5.520905012483256,0.5784313725490197
0.7,0.5,25.0,45.0,30.0,15.0,2,3.0686274509803924,5.520905012483256,0.5784313725490197
0.7,0.65,20.0,45.0,30.0,15.0,2,3.0686274509803924,5.520905012483256,0.5784313725490197
0.7,0.65,25.0,45.0,30.0,15.0,2,3.0686274509803924,5.520905012483256,0.5784313725490197
0.8,0.35,25.0,45.0,40.0,20.0,3,3.0686274509803924,5.913593512856131,0.6372549019607843
0.8,0.5,25.0,45.0,40.0,20.0,3,3.0686274509803924,5.913593512856131,0.6372549019607843
0.8,0.65,25.0,45.0,40.0,20.0,3,3.0686274509803924,5.913593512856131,0.6372549019607843
0.9,0.35,25.0,45.0,30.0,20.0,2,3.0784313725490198,5.809053110380011,0.6176470588235294
0.9,0.5,25.0,45.0,30.0,20.0,2,3.0784313725490198,5.809053110380011,0.6176470588235294
0.9,0.65,25.0,45.0,30.0,20.0,2,3.0784313725490198,5.809053110380011,0.6176470588235294
