name,type,split,true_count,pose_pred_count,rgb_pred_count,pose_abs_error,rgb_abs_error,error_gap_rgb_minus_pose,pose_valid_ratio,pose_mean_conf,rgb_frames_used,rgb_backbone,width,height,duration_sec,fps,orientation,issue_tags,audit_bucket,severity,video_path,contact_sheet,source_audit_csv,source_run_name,review_priority,model_outcome,manual_review_status,manual_primary_issue,manual_issue_tags,manual_target_person_ok,manual_count_label_ok,manual_rep_definition_ambiguous,manual_visibility_issue_confirmed,manual_pose_failure_confirmed,manual_rgb_context_advantage_confirmed,manual_keep_for_report,manual_notes
stu6_61.mp4,squat,valid,19.0,25.084957122802734,35.567359924316406,6.084957122802734,16.567359924316406,10.482402801513672,1.000000,0.949529,256.0,resnet18,406,720,61.371,30.000,portrait,"portrait_framing,both_models_struggle,likely_semantic_or_definition_ambiguity",likely_semantic_or_definition_ambiguity,high,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/stu6_61.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,1,pose_clear_win,pending,,,,,,,,,,
stu9_67.mp4,squat,valid,0.0,3.15813946723938,5.718610763549805,3.15813946723938,5.718610763549805,2.560471296310425,1.000000,0.962950,256.0,resnet18,1280,720,11.332,25.000,landscape,"both_models_struggle,likely_semantic_or_definition_ambiguity",likely_semantic_or_definition_ambiguity,high,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/stu9_67.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,2,pose_clear_win,pending,,,,,,,,,,
stu6_57.mp4,squat,valid,15.0,19.887243270874023,9.825913429260254,4.887243270874023,5.174086570739746,0.28684329986572266,0.992303,0.854334,256.0,resnet18,270,360,52.000,30.000,portrait,"portrait_framing,low_resolution,both_models_struggle,likely_semantic_or_definition_ambiguity",likely_semantic_or_definition_ambiguity,high,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/stu6_57.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,3,close_call,pending,,,,,,,,,,
train3898.mp4,squat,valid,2.0,4.908227920532227,4.161266803741455,2.9082279205322266,2.161266803741455,-0.7469611167907715,0.110368,0.217328,256.0,resnet18,360,204,10.030,30.010,landscape,"severe_pose_visibility_loss,extreme_pose_confidence_failure,likely_framing_or_occlusion_issue,low_resolution,both_models_struggle",likely_visibility_limited_case,high,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/train3898.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,4,close_call,pending,,,,,,,,,,
stu3_66.mp4,squat,valid,9.0,9.415925025939941,30.694271087646484,0.4159250259399414,21.694271087646484,21.278346061706543,1.000000,0.962844,256.0,resnet18,1280,720,34.900,23.976,landscape,pose_stronger_on_clean_geometry,pose_advantage_on_clean_geometry,medium,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/stu3_66.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,5,pose_clear_win,pending,,,,,,,,,,
stu4_70.mp4,squat,valid,44.0,42.28895950317383,34.56130599975586,1.7110404968261719,9.43869400024414,7.727653503417969,1.000000,0.927612,256.0,resnet18,960,720,63.391,30.000,landscape,pose_stronger_on_clean_geometry,pose_advantage_on_clean_geometry,medium,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/stu4_70.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,6,pose_clear_win,pending,,,,,,,,,,
train3946.mp4,squat,valid,2.0,2.955331563949585,11.208712577819824,0.955331563949585,9.208712577819824,8.25338101387024,1.000000,0.951431,256.0,resnet18,640,360,10.010,29.970,landscape,pose_stronger_on_clean_geometry,pose_advantage_on_clean_geometry,medium,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/train3946.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,7,pose_clear_win,pending,,,,,,,,,,
stu10_67.mp4,squat,valid,6.0,5.995382308959961,10.042999267578125,0.0046176910400390625,4.042999267578125,4.038381576538086,1.000000,0.840534,256.0,resnet18,640,360,17.985,29.970,landscape,pose_stronger_on_clean_geometry,pose_advantage_on_clean_geometry,medium,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/stu10_67.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,8,pose_clear_win,pending,,,,,,,,,,
stu5_71.mp4,squat,valid,19.0,18.36822509765625,15.561498641967773,0.63177490234375,3.4385013580322266,2.8067264556884766,0.942774,0.781565,256.0,resnet18,640,360,43.002,23.976,landscape,pose_stronger_on_clean_geometry,pose_advantage_on_clean_geometry,medium,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/stu5_71.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,9,pose_clear_win,pending,,,,,,,,,,
stu7_65.mp4,squat,valid,9.0,9.132256507873535,11.296906471252441,0.13225650787353516,2.2969064712524414,2.1646499633789062,0.997187,0.836860,256.0,resnet18,640,360,30.030,23.976,landscape,pose_stronger_on_clean_geometry,pose_advantage_on_clean_geometry,medium,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/Data/LLSP/video/valid/stu7_65.mp4,,/content/drive/MyDrive/FinalProjectCV/CV_Image_pose_detection/artifacts/3_Modeling/training_outputs/rgb_count_tcn_squat_seq256/hard_case_audit.csv,rgb_count_tcn_squat_seq256,10,pose_clear_win,pending,,,,,,,,,,
